20191029_bar_row_310,Whisky and Alement,2013,270 Russell Street,Melbourne (CBD),90,-37.81011116,144.9671591
20191029_bar_row_312,Marrakech Bar,2011,435-443 Little Collins Street,Melbourne (CBD),200,-37.81638558,144.9600859
20191029_bar_row_314,Melbourne Savage Club,2011,12-16 Bank Place,Melbourne (CBD),90,-37.81654467,144.9605765
20191029_bar_row_315,Dikstein's Corner Bar,2011,433 Little Collins Street,Melbourne (CBD),145,-37.81631094,144.9603413
20191029_bar_row_316,Karstens At CQ,2013,111-129 Queen Street,Melbourne (CBD),170,-37.81581152,144.9606367
20191029_bar_row_317,Blue Diamond,2013,111-129 Queen Street,Melbourne (CBD),200,-37.81581152,144.9606367
20191029_bar_row_318,Element Lounge,2013,85-91 Queen Street,Melbourne (CBD),230,-37.81649711,144.9610213
20191029_bar_row_319,Karoke Box,2011,52 La Trobe Street,Melbourne (CBD),100,-37.80828608,144.9672465
20191029_bar_row_321,Transport,2008,2 Swanston Street,Melbourne (CBD),900,-37.81784465,144.9699175
20191029_bar_row_322,Zinc at Federation Square,2008,2 Swanston Street,Melbourne (CBD),1000,-37.81784465,144.9699175
20191029_bar_row_325,Alluva Restaurant Bar Lounge,2008,457-471 Bourke Street,Melbourne (CBD),513,-37.81547268,144.9601886
20191029_bar_row_326,FFour,2008,318-322 Little Collins Street,Melbourne (CBD),380,-37.81488174,144.9640121
20191029_bar_row_338,Seamstress Pty Ltd,2008,113 Lonsdale Street,Melbourne (CBD),160,-37.81056538,144.9690111
20191029_bar_row_340,The Mercant Cross Hotel,2011,143-151 Therry Street,Melbourne (CBD),1081,-37.80792152,144.9583711
20191029_bar_row_342,Roo Bar,2011,167-175 Franklin Street,Melbourne (CBD),200,-37.80895967,144.9591538
20191029_bar_row_344,The Mill,2008,67-73 Hardware Lane,Melbourne (CBD),119,-37.81323451,144.960908
20191029_bar_row_345,Section 8 Bar Pty Ltd,2008,27-29 Tattersalls Lane,Melbourne (CBD),100,-37.81176167,144.9653899
20191029_bar_row_346,The Toff In Town,2008,248-258 Swanston Street,Melbourne (CBD),345,-37.81199559,144.9652504
20191029_bar_row_347,Rooftop Bar,2008,248-258 Swanston Street,Melbourne (CBD),200,-37.81199559,144.9652504
20191029_bar_row_349,The Batman's Hill Hotel,2006,66-70 Spencer Street,Melbourne (CBD),1500,-37.81934371,144.9546555
20191029_bar_row_356,The Press Club Restuarant & Bar Pty Ltd,2008,46-74 Flinders Street,Melbourne (CBD),90,-37.81546181,144.9727209
20191029_bar_row_364,Escape City,2016,213-217 Russell Street,Melbourne (CBD),100,-37.81156167,144.9672365
20191029_bar_row_365,Cohen Cellars Wine Bar,2013,166 Albert Street,East Melbourne,40,-37.81004657,144.9856254
20191029_bar_row_366,Ondergronds Pty Ltd,2008,27-37 Russell Street,Melbourne (CBD),250,-37.81598754,144.9692478
20191029_bar_row_367,Sen Karaoke Bar,2006,231-233 Exhibition Street,Melbourne (CBD),120,-37.81051104,144.9695206
20191029_bar_row_368,Dreams Gentleman's Club,2008,1-5 Elizabeth Street,Melbourne (CBD),160,-37.81805666,144.964608
20191029_bar_row_370,The Order of Melbourne,2008,401-405 Swanston Street,Melbourne (CBD),420,-37.80904283,144.963217
20191029_bar_row_386,Ding Dong Lounge,2008,18-24 Market Lane,Melbourne (CBD),396,-37.81175137,144.9694031
